ENS,Folio,Region,Comuna,Region,Comuna,Comuna_CENSO2017,CENSO2017,Comuna_CENSO,CENSO2017
2003,658,3,235,3ª Región,Chañaral,Chañaral,3201,CHAÑARAL,3201
2003,661,3,235,3ª Región,Chañaral,Chañaral,3201,CHAÑARAL,3201
2003,667,3,235,3ª Región,Chañaral,Chañaral,3201,CHAÑARAL,3201
2003,668,3,235,3ª Región,Chañaral,Chañaral,3201,CHAÑARAL,3201
2003,674,3,236,3ª Región,Diego de Almagro,Diego de Almagro,3202,DIEGO DE ALMAGRO,3202
2003,676,3,236,3ª Región,Diego de Almagro,Diego de Almagro,3202,DIEGO DE ALMAGRO,3202
2003,677,3,236,3ª Región,Diego de Almagro,Diego de Almagro,3202,DIEGO DE ALMAGRO,3202
2003,679,3,236,3ª Región,Diego de Almagro,Diego de Almagro,3202,DIEGO DE ALMAGRO,3202
2003,682,3,236,3ª Región,Diego de Almagro,Diego de Almagro,3202,DIEGO DE ALMAGRO,3202
2003,683,3,236,3ª Región,Diego de Almagro,Diego de Almagro,3202,DIEGO DE ALMAGRO,3202
2003,685,3,236,3ª Región,Diego de Almagro,Diego de Almagro,3202,DIEGO DE ALMAGRO,3202
2003,686,3,236,3ª Región,Diego de Almagro,Diego de Almagro,3202,DIEGO DE ALMAGRO,3202
2003,690,3,236,3ª Región,Diego de Almagro,Diego de Almagro,3202,DIEGO DE ALMAGRO,3202
2003,693,3,236,3ª Región,Diego de Almagro,Diego de Almagro,3202,DIEGO DE ALMAGRO,3202
2003,705,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,708,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,719,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,720,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,723,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,726,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,728,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,742,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,743,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,744,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,754,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,757,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,758,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,759,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,761,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,763,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,768,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,771,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,772,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,778,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,780,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,781,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,787,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,789,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,790,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,804,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,806,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,810,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,811,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,815,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,816,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,818,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,820,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,823,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,824,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,825,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,828,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,829,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,831,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,837,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,843,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
2003,844,3,240,3ª Región,Copiapó,Copiapó,3101,COPIAPÓ,3101
